meta,position,is_qb,year_span,start_year,end_year,slug,full_slug,iter
Abe Addams (DE) 1949-1949,DE,0,1949-1949,1949,1949,/players/A/AddaAb20.htm,https://www.pro-football-reference.com/players/A/AddaAb20.htm,a
Herb Adderley+ (DB) 1961-1972,DB,0,1961-1972,1961,1972,/players/A/AddeHe00.htm,https://www.pro-football-reference.com/players/A/AddeHe00.htm,a
Nasir Adderley (S) 2019-2022,S,0,2019-2022,2019,2022,/players/A/AddeNa00.htm,https://www.pro-football-reference.com/players/A/AddeNa00.htm,a
Tucker Addington (LS) 2022-2022,LS,0,2022-2022,2022,2022,/players/A/AddiTu00.htm,https://www.pro-football-reference.com/players/A/AddiTu00.htm,a
Bralon Addison (RB) 2016-2016,RB,0,2016-2016,2016,2016,/players/A/AddiBr01.htm,https://www.pro-football-reference.com/players/A/AddiBr01.htm,a
Jordan Addison (WR) 2023-2023,WR,0,2023-2023,2023,2023,/players/A/AddiJo00.htm,https://www.pro-football-reference.com/players/A/AddiJo00.htm,a
Mario Addison (DE) 2011-2022,DE,0,2011-2022,2011,2022,/players/A/AddiMa00.htm,https://www.pro-football-reference.com/players/A/AddiMa00.htm,a
Tom Addison (LB) 1960-1967,LB,0,1960-1967,1960,1967,/players/A/AddiTo00.htm,https://www.pro-football-reference.com/players/A/AddiTo00.htm,a
Nick Adduci (LB) 1954-1955,LB,0,1954-1955,1954,1955,/players/A/AdduNi20.htm,https://www.pro-football-reference.com/players/A/AdduNi20.htm,a
Paulson Adebo (CB) 2021-2023,CB,0,2021-2023,2021,2023,/players/A/AdebPa00.htm,https://www.pro-football-reference.com/players/A/AdebPa00.htm,a
Quincy Adeboyejo (WR) 2017-2017,WR,0,2017-2017,2017,2017,/players/A/AdebQu00.htm,https://www.pro-football-reference.com/players/A/AdebQu00.htm,a
Hakeem Adeniji (OL) 2020-2022,OL,0,2020-2022,2020,2022,/players/A/AdenHa00.htm,https://www.pro-football-reference.com/players/A/AdenHa00.htm,a
Olasunkanmi Adeniyi (DE) 2018-2022,DE,0,2018-2022,2018,2022,/players/A/AdenOl00.htm,https://www.pro-football-reference.com/players/A/AdenOl00.htm,a
Aaron Adeoye (DE) 2020-2020,DE,0,2020-2020,2020,2020,/players/A/AdeoAa00.htm,https://www.pro-football-reference.com/players/A/AdeoAa00.htm,a
Victor Adeyanju (DE) 2006-2009,DE,0,2006-2009,2006,2009,/players/A/AdeyVi20.htm,https://www.pro-football-reference.com/players/A/AdeyVi20.htm,a
Xavier Adibi (LB) 2008-2012,LB,0,2008-2012,2008,2012,/players/A/AdibXa99.htm,https://www.pro-football-reference.com/players/A/AdibXa99.htm,a
John Adickes (C) 1987-1989,C,0,1987-1989,1987,1989,/players/A/AdicJo20.htm,https://www.pro-football-reference.com/players/A/AdicJo20.htm,a
Mark Adickes (G) 1986-1991,G,0,1986-1991,1986,1991,/players/A/AdicMa20.htm,https://www.pro-football-reference.com/players/A/AdicMa20.htm,a
Jude Adjei-Barimah (CB) 2015-2016,CB,0,2015-2016,2015,2016,/players/A/AdjeJu00.htm,https://www.pro-football-reference.com/players/A/AdjeJu00.htm,a
Bob Adkins (BB-DE-G-LB) 1940-1945,BB-DE-G-LB,0,1940-1945,1940,1945,/players/A/AdkiBo20.htm,https://www.pro-football-reference.com/players/A/AdkiBo20.htm,a
Kevin Adkins (DB) 1987-1987,DB,0,1987-1987,1987,1987,/players/A/AdkiKe20.htm,https://www.pro-football-reference.com/players/A/AdkiKe20.htm,a
Margene Adkins (WR) 1970-1973,WR,0,1970-1973,1970,1973,/players/A/AdkiMa00.htm,https://www.pro-football-reference.com/players/A/AdkiMa00.htm,a
Nate Adkins (TE) 2023-2023,TE,0,2023-2023,2023,2023,/players/A/AdkiNa00.htm,https://www.pro-football-reference.com/players/A/AdkiNa00.htm,a
Roy Adkins (G) 1920-1920,G,0,1920-1920,1920,1920,/players/A/AdkiRo20.htm,https://www.pro-football-reference.com/players/A/AdkiRo20.htm,a
Sam Adkins (QB) 1977-1981,QB,1,1977-1981,1977,1981,/players/A/AdkiSa00.htm,https://www.pro-football-reference.com/players/A/AdkiSa00.htm,a
Spencer Adkins (LB) 2009-2011,LB,0,2009-2011,2009,2011,/players/A/AdkiSp99.htm,https://www.pro-football-reference.com/players/A/AdkiSp99.htm,a
James Adkisson (WR) 2006-2006,WR,0,2006-2006,2006,2006,/players/A/AdkiJa00.htm,https://www.pro-football-reference.com/players/A/AdkiJa00.htm,a
Cal Adomitis (LS) 2022-2023,LS,0,2022-2023,2022,2023,/players/A/AdomCa00.htm,https://www.pro-football-reference.com/players/A/AdomCa00.htm,a
Daniel Adongo (LB) 2013-2015,LB,0,2013-2015,2013,2015,/players/A/AdonDa00.htm,https://www.pro-football-reference.com/players/A/AdonDa00.htm,a
Al Afalava (DB) 2009-2012,DB,0,2009-2012,2009,2012,/players/A/AfalAl99.htm,https://www.pro-football-reference.com/players/A/AfalAl99.htm,a
Erik Affholter (WR) 1991-1991,WR,0,1991-1991,1991,1991,/players/A/AffhEr00.htm,https://www.pro-football-reference.com/players/A/AffhEr00.htm,a
Dick Afflis (T-DG-G) 1951-1954,T-DG-G,0,1951-1954,1951,1954,/players/A/AfflDi20.htm,https://www.pro-football-reference.com/players/A/AfflDi20.htm,a
Ben Agajanian (K) 1945-1964,K,0,1945-1964,1945,1964,/players/A/AgajBe20.htm,https://www.pro-football-reference.com/players/A/AgajBe20.htm,a
Alex Agase (LB-G) 1947-1953,LB-G,0,1947-1953,1947,1953,/players/A/AgasAl20.htm,https://www.pro-football-reference.com/players/A/AgasAl20.htm,a
Louis Age (T) 1992-1992,T,0,1992-1992,1992,1992,/players/A/AgexLo20.htm,https://www.pro-football-reference.com/players/A/AgexLo20.htm,a
Mel Agee (DE-DT) 1991-1995,DE-DT,0,1991-1995,1991,1995,/players/A/AgeeMe20.htm,https://www.pro-football-reference.com/players/A/AgeeMe20.htm,a
Sam Agee (FB) 1938-1939,FB,0,1938-1939,1938,1939,/players/A/AgeeSa20.htm,https://www.pro-football-reference.com/players/A/AgeeSa20.htm,a
Tommie Agee (RB) 1988-1994,RB,0,1988-1994,1988,1994,/players/A/AgeeTo00.htm,https://www.pro-football-reference.com/players/A/AgeeTo00.htm,a
Nelson Agholor (WR) 2015-2023,WR,0,2015-2023,2015,2023,/players/A/AghoNe00.htm,https://www.pro-football-reference.com/players/A/AghoNe00.htm,a
McTelvin Agim (DL) 2020-2021,DL,0,2020-2021,2020,2021,/players/A/AgimMc00.htm,https://www.pro-football-reference.com/players/A/AgimMc00.htm,a
Bob Agler (HB-DB-FB-LB) 1948-1949,HB-DB-FB-LB,0,1948-1949,1948,1949,/players/A/AgleBo20.htm,https://www.pro-football-reference.com/players/A/AgleBo20.htm,a
Jamal Agnew (CB) 2017-2023,CB,0,2017-2023,2017,2023,/players/A/AgneJa00.htm,https://www.pro-football-reference.com/players/A/AgneJa00.htm,a
Ray Agnew (DT-DE) 1990-2000,DT-DE,0,1990-2000,1990,2000,/players/A/AgneRa20.htm,https://www.pro-football-reference.com/players/A/AgneRa20.htm,a
